schema_version,run_id,question_index,question,k,relevant_chunk_ids,retrieved_chunk_ids,hit_chunk_ids,missed_chunk_ids,dense_ranks,bm25_ranks,hybrid_scores,precision,recall,hit,reciprocal_rank,ndcg
1,eval_20260818T083844334447Z,1,"What is the WHO recommended minimum daily potassium intake for adults, and how should this intake recommendation be adjusted for children?",3,"[""potassium_intake_chunk_0018"",""potassium_intake_chunk_0064"",""potassium_intake_chunk_0067"",""potassium_intake_chunk_0068""]","[""potassium_intake_chunk_0064"",""potassium_intake_chunk_0068"",""potassium_intake_chunk_0018""]","[""potassium_intake_chunk_0064"",""potassium_intake_chunk_0068"",""potassium_intake_chunk_0018""]","[""potassium_intake_chunk_0067""]","[2,1,3]","[1,3,2]","[0.03252247488101534,0.032266458495966696,0.03200204813108039]",1.0,0.75,1.0,1.0,1.0
1,eval_20260818T083844334447Z,1,"What is the WHO recommended minimum daily potassium intake for adults, and how should this intake recommendation be adjusted for children?",5,"[""potassium_intake_chunk_0018"",""potassium_intake_chunk_0064"",""potassium_intake_chunk_0067"",""potassium_intake_chunk_0068""]","[""potassium_intake_chunk_0064"",""potassium_intake_chunk_0068"",""potassium_intake_chunk_0018"",""potassium_intake_chunk_0005"",""potassium_intake_chunk_0065""]","[""potassium_intake_chunk_0064"",""potassium_intake_chunk_0068"",""potassium_intake_chunk_0018""]","[""potassium_intake_chunk_0067""]","[2,1,3,6,9]","[1,3,2,7,5]","[0.03252247488101534,0.032266458495966696,0.03200204813108039,0.03007688828584351,0.029877369007803793]",0.6,0.75,1.0,1.0,0.8318724637288826
1,eval_20260818T083844334447Z,1,"What is the WHO recommended minimum daily potassium intake for adults, and how should this intake recommendation be adjusted for children?",10,"[""potassium_intake_chunk_0018"",""potassium_intake_chunk_0064"",""potassium_intake_chunk_0067"",""potassium_intake_chunk_0068""]","[""potassium_intake_chunk_0064"",""potassium_intake_chunk_0068"",""potassium_intake_chunk_0018"",""potassium_intake_chunk_0005"",""potassium_intake_chunk_0065"",""sodium_intake_for_adults_and_children_chunk_0076"",""sodium_intake_for_adults_and_children_chunk_0072"",""sodium_intake_for_adults_and_children_chunk_0018"",""potassium_intake_chunk_0020"",""potassium_intake_chunk_0029""]","[""potassium_intake_chunk_0064"",""potassium_intake_chunk_0068"",""potassium_intake_chunk_0018""]","[""potassium_intake_chunk_0067""]","[2,1,3,6,9,5,12,16,8,11]","[1,3,2,7,5,10,6,4,12,9]","[0.03252247488101534,0.032266458495966696,0.03200204813108039,0.03007688828584351,0.029877369007803793,0.02967032967032967,0.02904040404040404,0.028782894736842105,0.028594771241830064,0.028577260665441927]",0.3,0.75,1.0,1.0,0.8318724637288826
1,eval_20260818T083844334447Z,2,"According to the guideline's evidence summary, what effect does an increased potassium intake have on resting blood pressure in adults?",3,"[""potassium_intake_chunk_0017"",""potassium_intake_chunk_0042"",""potassium_intake_chunk_0075"",""potassium_intake_chunk_0080"",""potassium_intake_chunk_0173""]","[""potassium_intake_chunk_0039"",""potassium_intake_chunk_0089"",""potassium_intake_chunk_0056""]",[],"[""potassium_intake_chunk_0017"",""potassium_intake_chunk_0042"",""potassium_intake_chunk_0075"",""potassium_intake_chunk_0080"",""potassium_intake_chunk_0173""]","[1,10,9]","[1,4,5]","[0.03278688524590164,0.029910714285714284,0.029877369007803793]",0.0,0.0,0.0,0.0,0.0
1,eval_20260818T083844334447Z,2,"According to the guideline's evidence summary, what effect does an increased potassium intake have on resting blood pressure in adults?",5,"[""potassium_intake_chunk_0017"",""potassium_intake_chunk_0042"",""potassium_intake_chunk_0075"",""potassium_intake_chunk_0080"",""potassium_intake_chunk_0173""]","[""potassium_intake_chunk_0039"",""potassium_intake_chunk_0089"",""potassium_intake_chunk_0056"",""potassium_intake_chunk_0017"",""potassium_intake_chunk_0080""]","[""potassium_intake_chunk_0017"",""potassium_intake_chunk_0080""]","[""potassium_intake_chunk_0042"",""potassium_intake_chunk_0075"",""potassium_intake_chunk_0173""]","[1,10,9,4,17]","[1,4,5,11,3]","[0.03278688524590164,0.029910714285714284,0.029877369007803793,0.029709507042253523,0.02886002886002886]",0.4,0.4,1.0,0.25,0.27727342735504823
1,eval_20260818T083844334447Z,2,"According to the guideline's evidence summary, what effect does an increased potassium intake have on resting blood pressure in adults?",10,"[""potassium_intake_chunk_0017"",""potassium_intake_chunk_0042"",""potassium_intake_chunk_0075"",""potassium_intake_chunk_0080"",""potassium_intake_chunk_0173""]","[""potassium_intake_chunk_0039"",""potassium_intake_chunk_0089"",""potassium_intake_chunk_0056"",""potassium_intake_chunk_0017"",""potassium_intake_chunk_0080"",""potassium_intake_chunk_0075"",""potassium_intake_chunk_0042"",""potassium_intake_chunk_0055"",""potassium_intake_chunk_0020"",""potassium_intake_chunk_0061""]","[""potassium_intake_chunk_0017"",""potassium_intake_chunk_0080"",""potassium_intake_chunk_0075"",""potassium_intake_chunk_0042""]","[""potassium_intake_chunk_0173""]","[1,10,9,4,17,19,7,20,2,3]","[1,4,5,11,3,2,20,9,null,null]","[0.03278688524590164,0.029910714285714284,0.029877369007803793,0.029709507042253523,0.02886002886002886,0.02878726010616578,0.027425373134328357,0.026992753623188405,0.016129032258064516,0.015873015873015872]",0.4,0.8,1.0,0.25,0.5111381318124144
1,eval_20260818T083844334447Z,3,Did the WHO review find any significant adverse effects of increased potassium intake on blood lipids or renal function in adults with unimpaired kidney function?,3,"[""potassium_intake_chunk_0017"",""potassium_intake_chunk_0050"",""potassium_intake_chunk_0051"",""potassium_intake_chunk_0076"",""potassium_intake_chunk_0077"",""potassium_intake_chunk_0081"",""potassium_intake_chunk_0173""]","[""potassium_intake_chunk_0049"",""potassium_intake_chunk_0051"",""potassium_intake_chunk_0039""]","[""potassium_intake_chunk_0051""]","[""potassium_intake_chunk_0017"",""potassium_intake_chunk_0050"",""potassium_intake_chunk_0076"",""potassium_intake_chunk_0077"",""potassium_intake_chunk_0081"",""potassium_intake_chunk_0173""]","[2,1,4]","[1,2,4]","[0.03252247488101534,0.03252247488101534,0.03125]",0.3333333333333333,0.14285714285714285,1.0,0.5,0.2960819109658652
1,eval_20260818T083844334447Z,3,Did the WHO review find any significant adverse effects of increased potassium intake on blood lipids or renal function in adults with unimpaired kidney function?,5,"[""potassium_intake_chunk_0017"",""potassium_intake_chunk_0050"",""potassium_intake_chunk_0051"",""potassium_intake_chunk_0076"",""potassium_intake_chunk_0077"",""potassium_intake_chunk_0081"",""potassium_intake_chunk_0173""]","[""potassium_intake_chunk_0049"",""potassium_intake_chunk_0051"",""potassium_intake_chunk_0039"",""potassium_intake_chunk_0204"",""potassium_intake_chunk_0017""]","[""potassium_intake_chunk_0051"",""potassium_intake_chunk_0017""]","[""potassium_intake_chunk_0050"",""potassium_intake_chunk_0076"",""potassium_intake_chunk_0077"",""potassium_intake_chunk_0081"",""potassium_intake_chunk_0173""]","[2,1,4,5,10]","[1,2,4,6,5]","[0.03252247488101534,0.03252247488101534,0.03125,0.030536130536130537,0.02967032967032967]",0.4,0.2857142857142857,1.0,0.5,0.34519134224686937
1,eval_20260818T083844334447Z,3,Did the WHO review find any significant adverse effects of increased potassium intake on blood lipids or renal function in adults with unimpaired kidney function?,10,"[""potassium_intake_chunk_0017"",""potassium_intake_chunk_0050"",""potassium_intake_chunk_0051"",""potassium_intake_chunk_0076"",""potassium_intake_chunk_0077"",""potassium_intake_chunk_0081"",""potassium_intake_chunk_0173""]","[""potassium_intake_chunk_0049"",""potassium_intake_chunk_0051"",""potassium_intake_chunk_0039"",""potassium_intake_chunk_0204"",""potassium_intake_chunk_0017"",""potassium_intake_chunk_0053"",""sodium_intake_for_adults_and_children_chunk_0069"",""potassium_intake_chunk_0071"",""potassium_intake_chunk_0068"",""potassium_intake_chunk_0055""]","[""potassium_intake_chunk_0051"",""potassium_intake_chunk_0017""]","[""potassium_intake_chunk_0050"",""potassium_intake_chunk_0076"",""potassium_intake_chunk_0077"",""potassium_intake_chunk_0081"",""potassium_intake_chunk_0173""]","[2,1,4,5,10,6,19,8,12,16]","[1,2,4,6,5,11,3,16,15,12]","[0.03252247488101534,0.03252247488101534,0.03125,0.030536130536130537,0.02967032967032967,0.029236022193768675,0.028531243721117136,0.02786377708978328,0.027222222222222224,0.027046783625730993]",0.2,0.2857142857142857,1.0,0.5,0.2797643380184693
1,eval_20260818T083844334447Z,4,What are the key population groups excluded from these general potassium intake recommendations?,3,"[""potassium_intake_chunk_0021"",""potassium_intake_chunk_0064""]","[""potassium_intake_chunk_0025"",""sodium_intake_for_adults_and_children_chunk_0075"",""sodium_intake_for_adults_and_children_chunk_0019""]",[],"[""potassium_intake_chunk_0021"",""potassium_intake_chunk_0064""]","[2,11,1]","[7,1,12]","[0.031054405392392875,0.03047794966520434,0.03028233151183971]",0.0,0.0,0.0,0.0,0.0
